word,common_mean,pronunciation,more_mean,definition,synonyms,example 
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,None,None,None,None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; The whole thing was cooked into a sort of cake in the steamer .; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Sailing ships, and later steamers , played a vital part in South Australia's History.; Over the first two months of 1916, the Moewe captured or sank 15 merchant steamers , a total tonnage of 57,835.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; A few coastal companies began with sailing ships, while others did so with steamers .; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; Coat the bottom of a hot steamer with vegetable cooking spray.; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents."
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old.; Each ship had a commanding officer, but the commanders of the sailing ships were senior to those of the steamers so that they could direct the operations of their respective tenders.; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; The whole thing was cooked into a sort of cake in the steamer .; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Sailing ships, and later steamers , played a vital part in South Australia's History.; Coat the bottom of a hot steamer with vegetable cooking spray.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes."
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; A few coastal companies began with sailing ships, while others did so with steamers .; But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; Sailing ships, and later steamers , played a vital part in South Australia's History.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; Each ship had a commanding officer, but the commanders of the sailing ships were senior to those of the steamers so that they could direct the operations of their respective tenders.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; The whole thing was cooked into a sort of cake in the steamer .; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Coat the bottom of a hot steamer with vegetable cooking spray.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer ."
SPOT DYEING,None,None,None,None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; Again varies, ranging from requiring a full UK suit in winter to a 5mm steamer or even a shortie wetsuit in summer.; Over the first two months of 1916, the Moewe captured or sank 15 merchant steamers , a total tonnage of 57,835.; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Coat the bottom of a hot steamer with vegetable cooking spray.; The whole thing was cooked into a sort of cake in the steamer .; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Each ship had a commanding officer, but the commanders of the sailing ships were senior to those of the steamers so that they could direct the operations of their respective tenders.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake."
SPOT DYEING,None,None,None,None,None,None
STEAMER,None,None,None,None,None,None
STEAMER,None,None,None,None,None,None
STEAMER,None,None,None,None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; When sailing ships were replaced by steamers and liners, the heavy ropes were no longer in high demand.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; Piers were built to serve sailing vessels and steamers from across the bay.; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; Place the cabbage in a steamer and cook for 10-15 minutes or until just tender.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; A few coastal companies began with sailing ships, while others did so with steamers .; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"The registration process creates slippage : each of the four colors, plus black, are printed over one another.; Any slippage in that timetable they think will be a huge victory for the insurgents and send exactly the wrong message.; The slippage has worried residents in the suburb, where more than 100 homes were inundated in the floods of November, 2000.; But these are all slippages easily repaired with firm editorial control’.; Work on the clean up of the local graveyard was suspended last week as fears of further slippages grew but the positioning of special fencing has raised hopes that work may resume this week.; The plan also involves strengthening measures for the bank, which slopes down to Markievicz Road, where there has been slippage .; You walk right by the edge, vertical drops for the vertigo-challenged, stepping round recent cliff slippages .; But in recent years there's been serious slippage , enough to call a trend.; Major slippages in body condition can lead to undesirable further problems next year.; The New Walton Pier Company, which owns the site, told hut owners their huts would have to be removed for urgent safety work to be carried out due to land slippage .; We can only estimate the relative expansion slippage rates and contraction slippage rates compared to the point mutation rate.; However, if changes, created either by slippages or by nucleotide substitutions, were seen in the sequence included in any of the indels, then the number of such changes was also counted and included in the analysis.; The aftermath of a terrorist attack is the riskiest time for such slippages .; On the timing of the move, a degree of slippage from the original end - 1996 target date originally set by McCreevy is hinted at.; But there was still no sign of slippage last night.; Well, at this point they're succeeding pretty well, because we have not seen any slippage on the part of the Democrats.; These included streamlining training practices and eliminating slippages in deliveries.; We hope, if there is any slippage , we can be included in the first round and we feel we should be a priority in the second round.; Microsatellite lengths change over evolutionary time through a process of replication slippage .; So there has understandably been some slippage , but so far the American people generally, unlike the press, aren't panicking.; The slippage caused physical damage, delays, and consequential losses, and necessitated extensive remedial works.; Despite the concerns, however, some stockbrokers have been advising clients to take advantage of the recent slippage in share prices to add to existing holdings.; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; $16 million has been spent on cracks and slippage; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; Any slippage in tax collections can worsen the situation.; The traction-control system works well, and is intentionally toned down to allow some slippage through the corners.; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; There is a strong emphasis on low direct tax rates and, notwithstanding a couple of years of slippage , firm control over government spending.; This process is called mitotic slippage and yields tetraploid 4N cells."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Then put the sponge mix over the top, and cook in the steamer for 20-25 mins.; Each ship had a commanding officer, but the commanders of the sailing ships were senior to those of the steamers so that they could direct the operations of their respective tenders.; The whole thing was cooked into a sort of cake in the steamer .; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old.; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; Piers were built to serve sailing vessels and steamers from across the bay.; For more than a mile the beach was littered with wrecked ships, including debris from the steamer Curaca which was thrown across the full width of the narrows.; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; She also captured or sunk 14 ships (half of them steamers and most British) in 15 months at sea.; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; Until the 1880s the company stuck with sailing ships, but then moved slowly into steamers .; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; Stack the humitas in the steamer , cover the pan tightly, and steam for about 45 minutes.; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; The dim sum was contained in small bamboo food steamers , tiny but delightful, so that you could order varied dishes.; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; Sailing ships, and later steamers , played a vital part in South Australia's History.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"Microsatellite lengths change over evolutionary time through a process of replication slippage .; She provided an example: In some organizations, slippages in a work schedule are acceptable, as long as there's a reasonable explanation.; The New Walton Pier Company, which owns the site, told hut owners their huts would have to be removed for urgent safety work to be carried out due to land slippage .; He didn't have any advice for keeping the feathers equally spread throughout the quilt all night though, apparently even those quilted into squares suffer from feather slippage .; We hope, if there is any slippage , we can be included in the first round and we feel we should be a priority in the second round.; But in recent years there's been serious slippage , enough to call a trend.; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; If further slippages occur in November and December, it would be a cause for attention.; An adaptive building must allow slippage between each layer, or the slow layers block flow of quick, and quick layers tear up the slow.; In a competitive market, the rest will follow to ensure there ‘is no slippage in their market position’, he said.; The plan also involves strengthening measures for the bank, which slopes down to Markievicz Road, where there has been slippage .; So there has understandably been some slippage , but so far the American people generally, unlike the press, aren't panicking.; Any slippage in that timetable they think will be a huge victory for the insurgents and send exactly the wrong message.; On the timing of the move, a degree of slippage from the original end - 1996 target date originally set by McCreevy is hinted at.; But these are all slippages easily repaired with firm editorial control’.; $16 million has been spent on cracks and slippage; There are other signs of slippage in anti-tobacco efforts.; The traction-control system works well, and is intentionally toned down to allow some slippage through the corners.; Mrs Smyth was worried residents would have had to move into emergency housing over Christmas because of heightened fears about the level of slippage .; The registration process creates slippage : each of the four colors, plus black, are printed over one another.; However, if changes, created either by slippages or by nucleotide substitutions, were seen in the sequence included in any of the indels, then the number of such changes was also counted and included in the analysis.; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; But there was still no sign of slippage last night.; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; The slippage caused physical damage, delays, and consequential losses, and necessitated extensive remedial works.; £16 million has been spent on cracks and slippage; Major slippages in body condition can lead to undesirable further problems next year.; These included streamlining training practices and eliminating slippages in deliveries.; This suggests that some process other than enzyme slippage is contributing to the high level of diversity in this region.; In a shower, be sure to have a bath mat to prevent slippage ."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,None,None,None,None,None,None
